t[s]	AI 0 [V]	AI 1 [V]	AI 2 [V]
-3.1574	-4.77969	-4.58069	-4.95075
-3.1572	-4.78012	-4.58016	-4.95077
-3.157	-4.78062	-4.57972	-4.95059
-3.1568	-4.78094	-4.57937	-4.95039
-3.1566	-4.78089	-4.57903	-4.95034
-3.1564	-4.78062	-4.57869	-4.95043
-3.1562	-4.78032	-4.57833	-4.95074
-3.156	-4.78002	-4.57803	-4.95128
-3.1558	-4.77971	-4.57751	-4.95166
-3.1556	-4.7795	-4.57701	-4.95207
-3.1554	-4.77951	-4.57649	-4.95232
-3.1552	-4.77933	-4.57584	-4.95271
-3.155	-4.77895	-4.57538	-4.9531
-3.1548	-4.77826	-4.57529	-4.95347
-3.1546	-4.77774	-4.57538	-4.95385
-3.1544	-4.77735	-4.57514	-4.95407
-3.1542	-4.777	-4.57516	-4.95437
-3.154	-4.77666	-4.57505	-4.95478
-3.1538	-4.77646	-4.57481	-4.95514
-3.1536	-4.77601	-4.57457	-4.95548
-3.1534	-4.77587	-4.57447	-4.95579
-3.1532	-4.77557	-4.57447	-4.95573
-3.153	-4.77552	-4.57464	-4.95559
-3.1528	-4.7753	-4.575	-4.95549
-3.1526	-4.77489	-4.57556	-4.95532
-3.1524	-4.77495	-4.57608	-4.95527
-3.1522	-4.77531	-4.57614	-4.95513
-3.152	-4.77593	-4.57625	-4.95497
-3.1518	-4.77658	-4.57631	-4.95463
-3.1516	-4.77723	-4.57631	-4.95417
-3.1514	-4.77793	-4.57623	-4.95341
-3.1512	-4.77858	-4.57643	-4.95298
-3.151	-4.77934	-4.57669	-4.95278
-3.1508	-4.77999	-4.57681	-4.95272
-3.1506	-4.78063	-4.57702	-4.95246
-3.1504	-4.78106	-4.57701	-4.95212
-3.1502	-4.78149	-4.57704	-4.95167
-3.15	-4.78181	-4.57688	-4.95142
-3.1498	-4.78165	-4.57692	-4.95104
-3.1496	-4.78135	-4.57735	-4.95066
-3.1494	-4.78119	-4.5778	-4.95052
-3.1492	-4.78113	-4.57809	-4.95024
-3.149	-4.78103	-4.57841	-4.9499
-3.1488	-4.78094	-4.57874	-4.9496
-3.1486	-4.78099	-4.57915	-4.94936
-3.1484	-4.78096	-4.57961	-4.94897
-3.1482	-4.78097	-4.58003	-4.94844
-3.148	-4.78097	-4.58058	-4.94793
-3.1478	-4.78098	-4.58115	-4.94726
-3.1476	-4.78095	-4.58186	-4.94706
-3.1474	-4.78081	-4.58231	-4.94705
-3.1472	-4.78099	-4.58234	-4.9473
-3.147	-4.78097	-4.5817	-4.94783
-3.1468	-4.78093	-4.58126	-4.94867
-3.1466	-4.78083	-4.58079	-4.94946
-3.1464	-4.78076	-4.58047	-4.95022
-3.1462	-4.7806	-4.5803	-4.95077
-3.146	-4.78052	-4.57996	-4.95132
-3.1458	-4.78041	-4.57974	-4.95183
-3.1456	-4.78027	-4.57949	-4.95225
-3.1454	-4.78033	-4.57914	-4.95269
-3.1452	-4.78031	-4.57872	-4.95294
-3.145	-4.78045	-4.57827	-4.95341
-3.1448	-4.78027	-4.57792	-4.95373
-3.1446	-4.77976	-4.57764	-4.95419
-3.1444	-4.77931	-4.57783	-4.95442
-3.1442	-4.7789	-4.57772	-4.95465
-3.144	-4.77861	-4.57781	-4.955
-3.1438	-4.77817	-4.57777	-4.95527
-3.1436	-4.77799	-4.5776	-4.95551
-3.1434	-4.77763	-4.5776	-4.95579
-3.1432	-4.77737	-4.57762	-4.95618
-3.143	-4.77711	-4.57759	-4.95661
-3.1428	-4.77705	-4.57778	-4.95698
-3.1426	-4.777	-4.57775	-4.9572
-3.1424	-4.77717	-4.57788	-4.95733
-3.1422	-4.77769	-4.5778	-4.95707
-3.142	-4.77854	-4.5775	-4.9567
-3.1418	-4.77938	-4.57696	-4.95611
-3.1416	-4.78017	-4.57684	-4.95546
-3.1414	-4.78076	-4.5768	-4.95475
-3.1412	-4.78135	-4.57697	-4.95405
-3.141	-4.78183	-4.57736	-4.95357
-3.1408	-4.78245	-4.57766	-4.95319
-3.1406	-4.78286	-4.57756	-4.95266
-3.1404	-4.78313	-4.5775	-4.9521
-3.1402	-4.78352	-4.57752	-4.95168
-3.14	-4.7838	-4.5775	-4.95136
-3.1398	-4.78409	-4.57728	-4.95089
-3.1396	-4.78409	-4.57717	-4.95027
-3.1394	-4.78372	-4.57759	-4.94989
-3.1392	-4.78362	-4.57816	-4.94952
-3.139	-4.78349	-4.57865	-4.94909
-3.1388	-4.78354	-4.57906	-4.94878
-3.1386	-4.78352	-4.57937	-4.94842
-3.1384	-4.78375	-4.5798	-4.94811
-3.1382	-4.78368	-4.58025	-4.9477
-3.138	-4.78352	-4.58071	-4.94735
-3.1378	-4.78303	-4.58129	-4.94721
-3.1376	-4.78253	-4.58193	-4.94734
-3.1374	-4.78212	-4.58245	-4.94752
-3.1372	-4.78173	-4.58314	-4.94783
-3.137	-4.78156	-4.58356	-4.94799
-3.1368	-4.7817	-4.58369	-4.94801
-3.1366	-4.78197	-4.58372	-4.94799
-3.1364	-4.78209	-4.58394	-4.9479
-3.1362	-4.7821	-4.58402	-4.94814
-3.136	-4.78214	-4.58412	-4.94868
-3.1358	-4.78223	-4.58396	-4.94949
-3.1356	-4.78223	-4.58353	-4.95016
-3.1354	-4.78227	-4.58289	-4.9509
-3.1352	-4.78241	-4.58235	-4.95145
-3.135	-4.78243	-4.58175	-4.95209
-3.1348	-4.78257	-4.58124	-4.95258
-3.1346	-4.78245	-4.58042	-4.95291
-3.1344	-4.78205	-4.57991	-4.9533
-3.1342	-4.78164	-4.57989	-4.9538
-3.134	-4.78113	-4.57992	-4.9542
-3.1338	-4.7808	-4.58002	-4.95472
-3.1336	-4.78033	-4.57994	-4.95522
-3.1334	-4.78011	-4.57984	-4.95572
-3.1332	-4.78015	-4.57992	-4.95608
-3.133	-4.78037	-4.57999	-4.95605
-3.1328	-4.7808	-4.58009	-4.95588
-3.1326	-4.78116	-4.58024	-4.95563
-3.1324	-4.78149	-4.58043	-4.95536
-3.1322	-4.78168	-4.58057	-4.95531
-3.132	-4.78205	-4.58078	-4.95533
-3.1318	-4.78263	-4.58065	-4.95517
-3.1316	-4.78333	-4.58025	-4.95512
